Date,Temperature
1/7/25 16:50,13.55
1/7/25 17:00,13.6
1/7/25 17:10,13.55
1/7/25 17:20,13.55
1/7/25 17:30,13.55
1/7/25 17:40,13.51
1/7/25 17:50,13.51
1/7/25 18:00,13.55
1/7/25 18:10,13.51
1/7/25 18:20,13.55
1/7/25 18:30,13.51
1/7/25 18:40,13.51
1/7/25 18:50,13.51
1/7/25 19:00,13.51
1/7/25 19:10,13.51
1/7/25 19:20,13.51
1/7/25 19:30,13.55
1/7/25 19:40,13.51
1/7/25 19:50,13.51
1/7/25 20:00,13.51
1/7/25 20:10,13.47
1/7/25 20:20,13.51
1/7/25 20:30,13.47
1/7/25 20:40,13.51
1/7/25 20:50,13.51
1/7/25 21:00,13.51
1/7/25 21:10,13.51
1/7/25 21:20,13.47
1/7/25 21:30,13.47
1/7/25 21:40,13.51
1/7/25 21:50,14.15
1/7/25 22:00,14.97
1/7/25 22:10,15.78
1/7/25 22:20,16.51
1/7/25 22:30,17.16
1/7/25 22:40,17.8
1/7/25 22:50,18.32
1/7/25 23:00,18.87
1/7/25 23:10,19.35
1/7/25 23:20,19.82
1/7/25 23:30,20.2
1/7/25 23:40,20.68
1/7/25 23:50,21.02
1/8/25 0:00,21.45
1/8/25 0:10,21.7
1/8/25 0:20,22.01
1/8/25 0:30,22.31
1/8/25 0:40,22.56
1/8/25 0:50,22.78
1/8/25 1:00,23.03
1/8/25 1:10,23.21
1/8/25 1:20,23.38
1/8/25 1:30,23.55
1/8/25 1:40,23.68
1/8/25 1:50,23.81
1/8/25 2:00,23.94
1/8/25 2:10,24.06
1/8/25 2:20,24.19
1/8/25 2:30,24.28
1/8/25 2:40,24.32
1/8/25 2:50,24.45
1/8/25 3:00,24.49
1/8/25 3:10,24.62
1/8/25 3:20,24.62
1/8/25 3:30,24.71
1/8/25 3:40,24.79
1/8/25 3:50,24.79
1/8/25 4:00,24.79
1/8/25 4:10,24.88
1/8/25 4:20,24.92
1/8/25 4:30,24.92
1/8/25 4:40,24.97
1/8/25 4:50,25.01
1/8/25 5:00,25.05
1/8/25 5:10,25.05
1/8/25 5:20,25.09
1/8/25 5:30,25.05
1/8/25 5:40,25.01
1/8/25 5:50,24.11
1/8/25 6:00,23.21
1/8/25 6:10,22.35
1/8/25 6:20,21.66
1/8/25 6:30,20.98
1/8/25 6:40,20.29
1/8/25 6:50,19.77
1/8/25 7:00,19.26
1/8/25 7:10,18.74
1/8/25 7:20,18.36
1/8/25 7:30,17.97
1/8/25 7:40,17.59
1/8/25 7:50,17.33
1/8/25 8:00,16.99
1/8/25 8:10,16.69
1/8/25 8:20,16.43
1/8/25 8:30,16.26
1/8/25 8:40,16
1/8/25 8:50,15.83
1/8/25 9:00,15.61
1/8/25 9:10,15.48
1/8/25 9:20,15.31
1/8/25 9:30,15.18
1/8/25 9:40,15.06
1/8/25 9:50,14.93
1/8/25 10:00,14.84
1/8/25 10:10,14.75
1/8/25 10:20,14.67
1/8/25 10:30,14.58
1/8/25 10:40,14.5
1/8/25 10:50,14.45
1/8/25 11:00,14.37
1/8/25 11:10,14.33
1/8/25 11:20,14.28
1/8/25 11:30,14.24
1/8/25 11:40,14.15
1/8/25 11:50,14.07
1/8/25 12:00,14.07
1/8/25 12:10,14.03
1/8/25 12:20,13.98
1/8/25 12:30,13.98
1/8/25 12:40,13.9
1/8/25 12:50,13.9
1/8/25 13:00,13.9
1/8/25 13:10,13.85
1/8/25 13:20,13.85
1/8/25 13:30,13.85
1/8/25 13:40,13.77
1/8/25 13:50,13.77
1/8/25 14:00,13.77
1/8/25 14:10,13.77
1/8/25 14:20,13.68
1/8/25 14:30,13.68
1/8/25 14:40,13.68
1/8/25 14:50,13.68
1/8/25 15:00,13.68
1/8/25 15:10,13.6
1/8/25 15:20,13.64
1/8/25 15:30,13.6
1/8/25 15:40,13.6
1/8/25 15:50,13.6
1/8/25 16:00,13.55
1/8/25 16:10,13.51
1/8/25 16:20,13.47
